UUID.x	Superpopulation.code
4948da0d-838c-50d1-a90a-f5874ea83f6d	NoCODE
496014a4-6be3-5181-ac9e-bc1425259143	NoCODE
4979ee93-c61c-51d0-ad47-d244bac13a25	NoCODE
497cea38-c853-5517-b976-013f2390024d	NoCODE
49c00ac8-2491-517c-bd52-a6a86873d974	NoCODE
49d8ac2f-7815-5e6e-bee8-157babe1dab4	NoCODE
4a20d2e8-494d-5039-8f78-bcda6530f5ea	AFR
4a2a5296-742b-52ed-ac81-abbe0218486f	NoCODE
4aba177c-7305-5a03-9ae6-8b11656f0822	NoCODE
4abb5d9b-e3c8-5b63-8eb8-e59091e91907	AFR
4af1cd54-0ac7-5c17-b5a9-d87287e35522	AMR
4b3c8136-c893-5a55-a66b-43b716eb542e	NoCODE
4b918c57-5ce8-5dbd-8ee8-07efd5c25349	NoCODE
4c3e8cf8-bc9a-5ebe-8f38-58ce8eba939a	AFR
4c85f734-b518-5fe4-9229-3d47aae0442b	SAS
4cb033e0-0fdf-512a-9173-d39efbcffa43	NoCODE
4d9bdb00-9967-534a-ba11-3859ffea8085	NoCODE
4dc59a98-734a-5e2d-af6d-1ee24e2f458e	NoCODE
4dcf43d1-5cb1-595b-be87-a1ce8ec6d3c1	NoCODE
4df6517f-ef85-5a97-800e-065b57fca12f	NoCODE
4e2318e8-1257-58f1-a01b-83380cc9ba08	NoCODE
4e7613e1-ea6e-5eac-9a22-1c5c6963d2e0	NoCODE
4ef38e97-cdf9-5021-a0ad-32baa0fe893a	NoCODE
4f1085ac-d0b2-5fe2-b193-c99e68e02af8	SAS
4f1d2e65-55ca-53d8-a0b0-de2d038f2989	NoCODE
4f212828-a81f-5c6b-943a-f4508a93cabe	NoCODE
4fc8d476-0ba7-5e0b-b76d-0d8417fd7376	NoCODE
4fd3c6df-f713-5627-ae20-57efc9bf5200	SAS
4ff73bbe-8cf6-524a-b189-bd486e3a66f1	NoCODE
4ffe5cb1-e811-539c-90d0-86e191a3c7da	NoCODE
506dd797-3660-5370-8ff0-c8c8e20006fb	NoCODE
508a6984-62c0-51f5-98a4-8f144017086c	NoCODE
5127945b-1e2a-561e-a1e0-a75f2501e68c	NoCODE
512c5a52-1a76-5056-95a8-260e7a059043	NoCODE
5139dd72-c71e-51ed-ab5e-768a4f689785	NoCODE
517b752b-79e8-566c-81cc-035abf3c789c	NoCODE
5190e3d3-440f-518f-a7e1-eb76695458cc	NoCODE
51cd2ba9-966d-5354-87eb-7c49470dafa1	NoCODE
5317c386-1845-5cef-9632-cdd342c10279	NoCODE
5383dab6-6222-52e3-b43e-fce5e35eb0dd	NoCODE
5388f136-2ec3-5c85-a0ef-8c20bb290a2e	NoCODE
538ec78f-bf1c-5f97-bc00-fc055cf9038c	NoCODE
53e15ebf-7b59-5feb-a815-aff090fa09f2	NoCODE
53e8ec8f-597f-5b99-bdb3-d9be1aa9527a	NoCODE
542b3e86-86f8-59c4-a07c-bf6a49087bf0	EAS
5479b59b-c8e6-59fd-b28d-7229c60a92f7	NoCODE
55b66d2f-d5b1-5d29-8861-9a5fe1a3f17a	NoCODE
55edd4cd-9f39-51d2-a546-6dfdf81a4e8a	NoCODE
55f71753-f0a7-5971-a368-d300ab03db2a	NoCODE
5605fedf-d462-5b5d-8856-16cbd0371d25	NoCODE
5617309f-8061-51a0-9059-92ebddb30004	NoCODE
568bc953-bbd5-5669-8e59-00e1477c46cc	SAS
571c4e9b-4695-5b69-a960-a797f5ef88db	NoCODE
5725dd6d-0cd6-5353-b915-bd8f299d8641	NoCODE
5730efd0-c4a6-5580-8792-3dee89c2fe23	NoCODE
574ff042-814b-5c57-9900-68b804f0432b	EAS
577a8b1a-ec02-5be9-a848-e57abd0fd5f1	NoCODE
57cc83e6-8390-59c2-9024-a8cf473e9573	AFR
59529717-ee19-5b4e-b59a-e50e8ffa309f	NoCODE
5967338c-0a55-5c79-a5da-7fd4f12c0762	NoCODE
599debf1-3f76-5cd1-a457-f9b2938dccb0	NoCODE
